description,category,dk_pn,mfr_pn,mfr,qty_shipped,gbp_unit_price,gbp_ext_price,invoice_id,date_shipped,series,product_status,package_type,core_processor,core_type,clock_speed,program_memory_size,other_parameters
IC SUPERVISOR 1 CHANNEL SOT23-3,Power Management (PMIC),576-3802-1-ND,MIC803-29D2VM3-TR,Microchip Technology,25,£0.25280,£6.32,107898616,2024-10-21T13:42:36Z,-,Active,Cut Tape (CT),,,,,"{""DigiKey Programmable"": ""Not Verified"", ""Type"": ""Simple Reset/Power-On Reset"", ""Number of Voltages Monitored"": ""1"", ""Voltage - Threshold"": ""2.93V"", ""Output"": ""Open Drain or Open Collector"", ""Reset"": ""Active Low"", ""Reset Timeout"": ""20ms Minimum"", ""Operating Temperature"": ""-40°C ~ 125°C (TJ)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""TO-236-3, SC-59, SOT-23-3"", ""Supplier Device Package"": ""SOT-23-3""}"
IC VREF SHUNT 1% SOT23-3,Power Management (PMIC),296-19437-1-ND,LM4040D30IDBZR,Texas Instruments,10,£0.36300,£3.63,107898616,2024-10-21T13:42:36Z,-,Active,Cut Tape (CT),,,,,"{""Reference Type"": ""Shunt"", ""Output Type"": ""Fixed"", ""Voltage - Output (Min/Fixed)"": ""3V"", ""Current - Output"": ""15 mA"", ""Tolerance"": ""±1%"", ""Temperature Coefficient"": ""150ppm/°C"", ""Noise - 0.1Hz to 10Hz"": ""-"", ""Noise - 10Hz to 10kHz"": ""35µVrms"", ""Voltage - Input"": ""-"", ""Current - Supply"": ""-"", ""Current - Cathode"": ""82 µA"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""TO-236-3, SC-59, SOT-23-3"", ""Supplier Device Package"": ""SOT-23-3""}"
IC PHASE LOCK LOOP 16DIP,Clock/Timing,296-33156-5-ND,CD74HCT4046AE,Texas Instruments,10,£0.37000,£3.70,107898616,2024-10-21T13:42:36Z,74HCT,Active,Tube,,,,,"{""DigiKey Programmable"": ""Not Verified"", ""Type"": ""Phase Lock Loop (PLL)"", ""PLL"": ""Yes"", ""Input"": ""CMOS"", ""Output"": ""CMOS"", ""Number of Circuits"": ""1"", ""Ratio - Input:Output"": ""1:4"", ""Differential - Input:Output"": ""No/No"", ""Frequency - Max"": ""38MHz"", ""Divider/Multiplier"": ""No/No"", ""Voltage - Supply"": ""4.5V ~ 5.5V"", ""Operating Temperature"": ""-55°C ~ 125°C"", ""Mounting Type"": ""Through Hole"", ""Package / Case"": ""16-DIP (0.300\"", 7.62mm)"", ""Supplier Device Package"": ""16-PDIP""}"
IC RTC CLK/CALENDAR I2C 8SOIC,Clock/Timing,MCP7940MT-I/SNCT-ND,MCP7940MT-I/SN,Microchip Technology,10,£0.51000,£5.10,107898616,2024-10-21T13:42:36Z,-,Active,Cut Tape (CT),,,,,"{""DigiKey Programmable"": ""Not Verified"", ""Type"": ""Clock/Calendar"", ""Features"": ""Alarm, Leap Year, Square Wave Output, SRAM"", ""Memory Size"": ""64B"", ""Time Format"": ""HH:MM:SS (12/24 hr)"", ""Date Format"": ""YY-MM-DD-dd"", ""Interface"": ""I2C, 2-Wire Serial"", ""Voltage - Supply"": ""1.8V ~ 5.5V"", ""Voltage - Supply, Battery"": ""-"", ""Current - Timekeeping (Max)"": ""1µA @ 5.5V"", ""Operating Temperature"": ""-40°C ~ 85°C"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
IC FLASH 64MBIT SPI/QUAD 8SOP,Memory,5369-BY25Q64ESSIG(R)CT-ND,BY25Q64ESSIG(R),BYTe Semiconductor,10,£0.47300,£4.73,107898616,2024-10-21T13:42:36Z,-,Active,Cut Tape (CT),,,,,"{""DigiKey Programmable"": ""Verified"", ""Memory Type"": ""Non-Volatile"", ""Memory Format"": ""FLASH"", ""Technology"": ""FLASH - NOR"", ""Memory Size"": ""64Mbit"", ""Memory Organization"": ""8M x 8"", ""Memory Interface"": ""SPI - Quad I/O"", ""Clock Frequency"": ""120 MHz"", ""Write Cycle Time - Word, Page"": ""50µs, 2.4ms"", ""Access Time"": ""11.5 ns"", ""Voltage - Supply"": ""2.7V ~ 3.6V"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.209\"", 5.30mm Width)"", ""Supplier Device Package"": ""8-SOP""}"
IC FLASH 32MBIT SPI/QUAD 8SOIC,Memory,1265-AT25SF321B-SSHB-B-ND,AT25SF321B-SSHB-B,Renesas Electronics Corporation,10,£0.38700,£3.87,107898616,2024-10-21T13:42:36Z,-,Active,Tube,,,,,"{""DigiKey Programmable"": ""Not Verified"", ""Memory Type"": ""Non-Volatile"", ""Memory Format"": ""FLASH"", ""Technology"": ""FLASH - NOR"", ""Memory Size"": ""32Mbit"", ""Memory Organization"": ""4M x 8"", ""Memory Interface"": ""SPI - Quad I/O"", ""Clock Frequency"": ""108 MHz"", ""Write Cycle Time - Word, Page"": ""50µs, 3ms"", ""Voltage - Supply"": ""2.7V ~ 3.6V"", ""Operating Temperature"": ""-40°C ~ 85°C (TC)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
IC SRAM 64KBIT SPI 20MHZ 8DIP,Memory,23K640-I/P-ND,23K640-I/P,Microchip Technology,15,£0.64000,£9.60,107898616,2024-10-21T13:42:36Z,-,Active,Tube,,,,,"{""DigiKey Programmable"": ""Not Verified"", ""Memory Type"": ""Volatile"", ""Memory Format"": ""SRAM"", ""Technology"": ""SRAM"", ""Memory Size"": ""64Kbit"", ""Memory Organization"": ""8K x 8"", ""Memory Interface"": ""SPI"", ""Clock Frequency"": ""20 MHz"", ""Write Cycle Time - Word, Page"": ""-"", ""Voltage - Supply"": ""2.7V ~ 3.6V"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Through Hole"", ""Package / Case"": ""8-DIP (0.300\"", 7.62mm)"", ""Supplier Device Package"": ""8-PDIP""}"
IC PSRAM 64MBIT SPI 133MHZ 8SOIC,Memory,1528-4677-ND,4677,Adafruit Industries LLC,10,£1.38000,£13.80,107898616,2024-10-21T13:42:36Z,-,Active,Bulk,,,,,"{""DigiKey Programmable"": ""Not Verified"", ""Memory Type"": ""Volatile"", ""Memory Format"": ""PSRAM"", ""Technology"": ""PSRAM (Pseudo SRAM)"", ""Memory Size"": ""64Mbit"", ""Memory Organization"": ""8M x 8"", ""Memory Interface"": ""SPI"", ""Clock Frequency"": ""133 MHz"", ""Write Cycle Time - Word, Page"": ""-"", ""Voltage - Supply"": ""2.7V ~ 3.6V"", ""Operating Temperature"": ""-40°C ~ 85°C"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
IC FLASH 8MBIT SPI/QUAD 8SOIC,Memory,1265-AT25SF081B-SSHD-B-ND,AT25SF081B-SSHD-B,Renesas Electronics Corporation,20,£0.26400,£5.28,107755402,2024-10-14T12:55:17Z,-,Active,Tube,,,,,"{""DigiKey Programmable"": ""Verified"", ""Memory Type"": ""Non-Volatile"", ""Memory Format"": ""FLASH"", ""Technology"": ""FLASH - NOR"", ""Memory Size"": ""8Mbit"", ""Memory Organization"": ""1M x 8"", ""Memory Interface"": ""SPI - Quad I/O"", ""Clock Frequency"": ""108 MHz"", ""Write Cycle Time - Word, Page"": ""50µs, 800µs"", ""Voltage - Supply"": ""2.5V ~ 3.6V"", ""Operating Temperature"": ""-40°C ~ 85°C (TC)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
IC FLASH 64MBIT SPI/QUAD 8SOIC,Memory,256-W25Q64JWSSIM-ND,W25Q64JWSSIM,Winbond Electronics,12,£0.89200,£10.70,107755402,2024-10-14T12:55:17Z,SpiFlash®,Active,Tube,,,,,"{""DigiKey Programmable"": ""Not Verified"", ""Memory Type"": ""Non-Volatile"", ""Memory Format"": ""FLASH"", ""Technology"": ""FLASH - NOR"", ""Memory Size"": ""64Mbit"", ""Memory Organization"": ""8M x 8"", ""Memory Interface"": ""SPI - Quad I/O"", ""Clock Frequency"": ""133 MHz"", ""Write Cycle Time - Word, Page"": ""3ms"", ""Voltage - Supply"": ""1.7V ~ 1.95V"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.209\"", 5.30mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
MRAM MEMORY IC 8MBIT QSPI 3.3V 1,Memory,5446-S3A8004V0M-AI1ATCT-ND,S3A8004V0M-AI1AT,Netsol,3,£7.81000,£23.43,107755402,2024-10-14T12:55:17Z,-,Active,Cut Tape (CT),,,,,"{""Memory Type"": ""Non-Volatile"", ""Memory Format"": ""RAM"", ""Technology"": ""MRAM (Magnetoresistive RAM)"", ""Memory Size"": ""8Mbit"", ""Memory Organization"": ""2M x 4"", ""Memory Interface"": ""SPI - Quad I/O"", ""Clock Frequency"": ""108 MHz"", ""Write Cycle Time - Word, Page"": ""-"", ""Access Time"": ""7 ns"", ""Voltage - Supply"": ""2.7V ~ 3.6V"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
IC EEPROM 8MBIT SPI/QUAD 8SOIC,Memory,497-M95P08-EXMNT/ECT-ND,M95P08-EXMNT/E,STMicroelectronics,10,£0.81400,£8.14,107755402,2024-10-14T12:55:17Z,-,Active,Cut Tape (CT),,,,,"{""Memory Type"": ""Non-Volatile"", ""Memory Format"": ""EEPROM"", ""Technology"": ""EEPROM"", ""Memory Size"": ""8Mbit"", ""Memory Organization"": ""1M x 8"", ""Memory Interface"": ""SPI - Quad I/O"", ""Clock Frequency"": ""80 MHz"", ""Write Cycle Time - Word, Page"": ""1.5ms"", ""Access Time"": ""10 ns"", ""Voltage - Supply"": ""1.6V ~ 3.6V"", ""Operating Temperature"": ""-40°C ~ 105°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SO""}"
IC PSRAM 64MBIT SPI 133MHZ 8SOIC,Memory,1528-4677-ND,4677,Adafruit Industries LLC,12,£1.38000,£16.56,107755402,2024-10-14T12:55:17Z,-,Active,Bulk,,,,,"{""DigiKey Programmable"": ""Not Verified"", ""Memory Type"": ""Volatile"", ""Memory Format"": ""PSRAM"", ""Technology"": ""PSRAM (Pseudo SRAM)"", ""Memory Size"": ""64Mbit"", ""Memory Organization"": ""8M x 8"", ""Memory Interface"": ""SPI"", ""Clock Frequency"": ""133 MHz"", ""Write Cycle Time - Word, Page"": ""-"", ""Voltage - Supply"": ""2.7V ~ 3.6V"", ""Operating Temperature"": ""-40°C ~ 85°C"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
IC EEPROM 8MBIT SPI/QUAD 8SOIC,Memory,497-M95P08-EXMNT/ECT-ND,M95P08-EXMNT/E,STMicroelectronics,10,£0.81400,£8.14,107755402,2024-10-14T12:55:17Z,-,Active,Cut Tape (CT),,,,,"{""Memory Type"": ""Non-Volatile"", ""Memory Format"": ""EEPROM"", ""Technology"": ""EEPROM"", ""Memory Size"": ""8Mbit"", ""Memory Organization"": ""1M x 8"", ""Memory Interface"": ""SPI - Quad I/O"", ""Clock Frequency"": ""80 MHz"", ""Write Cycle Time - Word, Page"": ""1.5ms"", ""Access Time"": ""10 ns"", ""Voltage - Supply"": ""1.6V ~ 3.6V"", ""Operating Temperature"": ""-40°C ~ 105°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SO""}"
IC RTC CLK/CALENDAR I2C 8SOIC,Clock/Timing,MCP7940MT-I/SNCT-ND,MCP7940MT-I/SN,Microchip Technology,6,£0.51000,£3.06,107755402,2024-10-14T12:55:17Z,-,Active,Cut Tape (CT),,,,,"{""DigiKey Programmable"": ""Not Verified"", ""Type"": ""Clock/Calendar"", ""Features"": ""Alarm, Leap Year, Square Wave Output, SRAM"", ""Memory Size"": ""64B"", ""Time Format"": ""HH:MM:SS (12/24 hr)"", ""Date Format"": ""YY-MM-DD-dd"", ""Interface"": ""I2C, 2-Wire Serial"", ""Voltage - Supply"": ""1.8V ~ 5.5V"", ""Voltage - Supply, Battery"": ""-"", ""Current - Timekeeping (Max)"": ""1µA @ 5.5V"", ""Operating Temperature"": ""-40°C ~ 85°C"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
TINY AVR PROGRAMMER,,1568-1079-ND,PGM-11801,SparkFun Electronics,1,£13.40000,£13.40,107755402,2024-10-14T12:55:17Z,,,,,,,,{}
IC MCU 8BIT 8KB FLASH 8DIP,Embedded,ATTINY85-20PU-ND,ATTINY85-20PU,Microchip Technology,10,£1.27000,£12.70,107755402,2024-10-14T12:55:17Z,"AVR® ATtiny, Functional Safety (FuSa)",Active,Tube,AVR,AVR,20MHz,8KB (4K x 16),"{""DigiKey Programmable"": ""Verified"", ""Connectivity"": ""USI"", ""Peripherals"": ""Brown-out Detect/Reset, POR, PWM, WDT"", ""Number of I/O"": ""6"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""512 x 8"", ""RAM Size"": ""512 x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""2.7V ~ 5.5V"", ""Data Converters"": ""A/D 4x10b"", ""Oscillator Type"": ""Internal"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Through Hole"", ""Supplier Device Package"": ""8-PDIP"", ""Package / Case"": ""8-DIP (0.300\"", 7.62mm)""}"
IC MCU 32BIT 1MB FLASH 144LQFP,Embedded,497-STM32H723ZGT6-ND,STM32H723ZGT6,STMicroelectronics,4,£9.92000,£39.68,107755402,2024-10-14T12:55:17Z,STM32H7,Active,Tray,ARM® Cortex®-M7,Cortex-M7,550MHz,1MB (1M x 8),"{""DigiKey Programmable"": ""Not Verified"", ""Connectivity"": ""CANbus, EBI/EMI, Ethernet, I2C, IrDA, LINbus, MDIO, MMC/SD/SDIO, QSPI, SAI, SPDIF, SPI, SWPMI, UART/USART, USB OTG"", ""Peripherals"": ""Brown-out Detect/Reset, DMA, I2S, LCD, POR, PWM, WDT"", ""Number of I/O"": ""114"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""-"", ""RAM Size"": ""564K x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""1.71V ~ 3.6V"", ""Data Converters"": ""A/D 12x12/b, 18x16b; D/A 2x12b"", ""Oscillator Type"": ""Internal"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""144-LQFP (20x20)"", ""Package / Case"": ""144-LQFP""}"
IC MCU 32BIT 1MB FLASH 100LQFP,Embedded,497-17009-ND,STM32F413VGT6,STMicroelectronics,10,£5.71800,£57.18,107755402,2024-10-14T12:55:17Z,STM32F4,Active,Tray,ARM® Cortex®-M4,Cortex-M4,100MHz,1MB (1M x 8),"{""DigiKey Programmable"": ""Not Verified"", ""Connectivity"": ""CANbus, EBI/EMI, I2C, IrDA, LINbus, MMC/SDIO, QSPI, SAI, SPI, UART/USART, USB OTG"", ""Peripherals"": ""Brown-out Detect/Reset, DMA, I2S, LCD, POR, PWM, WDT"", ""Number of I/O"": ""81"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""-"", ""RAM Size"": ""320K x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""1.7V ~ 3.6V"", ""Data Converters"": ""A/D 16x12b; D/A 2x12b"", ""Oscillator Type"": ""Internal"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""100-LQFP (14x14)"", ""Package / Case"": ""100-LQFP""}"
IC MCU 32BIT 2MB FLASH 144LQFP,Embedded,497-STM32H563ZIT6-ND,STM32H563ZIT6,STMicroelectronics,4,£7.69000,£30.76,107755402,2024-10-14T12:55:17Z,STM32H5,Active,Tray,ARM® Cortex®-M33,Cortex-M33,250MHz,2MB (2M x 8),"{""Connectivity"": ""CANbus, FIFO, I2C, IrDA, LINbus, SCI, SDIO, SMBus, SPI, UART/USART, USB"", ""Peripherals"": ""Brown-out Detect/Reset, DMA, I2S, PDR, POR, PWM, SHA, TRNG, Voltage Detect, WDT"", ""Number of I/O"": ""110"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""-"", ""RAM Size"": ""640K x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""1.71V ~ 3.6V"", ""Data Converters"": ""A/D 18x12b SAR; D/A 2x12b"", ""Oscillator Type"": ""External, Internal"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""144-LQFP (20x20)"", ""Package / Case"": ""144-LQFP""}"
IC RTC CLK/CALENDAR I2C 8SOIC,Clock/Timing,497-4684-1-ND,M41T81SM6F,STMicroelectronics,10,£2.11600,£21.16,107755402,2024-10-14T12:55:17Z,-,Active,Cut Tape (CT),,,,,"{""DigiKey Programmable"": ""Not Verified"", ""Type"": ""Clock/Calendar"", ""Features"": ""Alarm, Leap Year, Square Wave Output, Watchdog Timer"", ""Memory Size"": ""-"", ""Time Format"": ""HH:MM:SS:hh (24 hr)"", ""Date Format"": ""YY-MM-DD-dd"", ""Interface"": ""I2C, 2-Wire Serial"", ""Voltage - Supply"": ""2.7V ~ 5.5V"", ""Voltage - Supply, Battery"": ""2V ~ 3.5V"", ""Current - Timekeeping (Max)"": ""100µA @ 2.7V ~ 5.5V"", ""Operating Temperature"": ""-40°C ~ 85°C"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOIC""}"
IC FRAM 256KBIT SPI 33MHZ 8SOP,Memory,865-1293-1-ND,MB85RS256TYPNF-G-BCERE1,Fujitsu Semiconductor Memory Solution,5,£2.95000,£14.75,107755402,2024-10-14T12:55:17Z,-,Active,Cut Tape (CT),,,,,"{""DigiKey Programmable"": ""Not Verified"", ""Memory Type"": ""Non-Volatile"", ""Memory Format"": ""FRAM"", ""Technology"": ""FRAM (Ferroelectric RAM)"", ""Memory Size"": ""256Kbit"", ""Memory Organization"": ""32K x 8"", ""Memory Interface"": ""SPI"", ""Clock Frequency"": ""33 MHz"", ""Write Cycle Time - Word, Page"": ""-"", ""Voltage - Supply"": ""1.8V ~ 3.6V"", ""Operating Temperature"": ""-40°C ~ 125°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""8-SOIC (0.154\"", 3.90mm Width)"", ""Supplier Device Package"": ""8-SOP""}"
IC MCU 32BIT 512KB FLASH 144LQFP,Embedded,497-18515-ND,SPC560B50L5C6E0Y,STMicroelectronics,2,£4.98000,£9.96,107755402,2024-10-14T12:55:17Z,SPC56,Active,Tray,e200z0h,32-Bit,64MHz,512KB (512K x 8),"{""DigiKey Programmable"": ""Not Verified"", ""Connectivity"": ""CANbus, I2C, LINbus, SCI, SPI"", ""Peripherals"": ""DMA, POR, PWM, WDT"", ""Number of I/O"": ""123"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""-"", ""RAM Size"": ""32K x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""3V ~ 5.5V"", ""Data Converters"": ""A/D 36x10b"", ""Oscillator Type"": ""Internal"", ""Operating Temperature"": ""-40°C ~ 125°C (TA)"", ""Grade"": ""Automotive"", ""Qualification"": ""AEC-Q100"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""144-LQFP (20x20)"", ""Package / Case"": ""144-LQFP""}"
IC MCU 32BIT 192KB FLASH 100LQFP,Embedded,497-18579-ND,STM32L071VZT6,STMicroelectronics,2,£3.74000,£7.48,107755402,2024-10-14T12:55:17Z,STM32L0,Active,Tray,ARM® Cortex®-M0+,Cortex-M0+,32MHz,192KB (192K x 8),"{""DigiKey Programmable"": ""Not Verified"", ""Connectivity"": ""I2C, IrDA, SPI, UART/USART"", ""Peripherals"": ""Brown-out Detect/Reset, DMA, I2S, POR, PWM, WDT"", ""Number of I/O"": ""84"", ""Program Memory Type"": ""FLASH"", ""EEPROM Size"": ""6K x 8"", ""RAM Size"": ""20K x 8"", ""Voltage - Supply (Vcc/Vdd)"": ""1.65V ~ 3.6V"", ""Data Converters"": ""A/D 16x12b"", ""Oscillator Type"": ""Internal"", ""Operating Temperature"": ""-40°C ~ 85°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""100-LQFP (14x14)"", ""Package / Case"": ""100-LQFP""}"
ORANGECRAB R0.2.1 85F - LATTICE,Evaluation Boards,2077-ORANGECRAB-R0D2-85-ND,ORANGECRAB-R0D2-85,GroupGets LLC,1,£149.08000,£149.08,94727843,2023-01-06T22:27:39Z,ECP5,Obsolete,Box,,,,,"{""Type"": ""FPGA"", ""Platform"": ""ECP5 FPGA OrangeCrab-r0d2-85"", ""Contents"": ""Board(s)"", ""Utilized IC / Part"": ""LFE5U-85F"", ""Interconnect System"": ""-"", ""Suggested Programming Environment"": ""-"", ""Note"": ""-""}"
USB104 A7: ARTIX-7 FPGA DEVELOPM,Evaluation Boards,1286-410-398-ND,410-398,"Digilent, Inc.",1,£292.29000,£292.29,94727843,2023-01-06T22:27:39Z,Artix™ 7,Active,Box,,,,,"{""Type"": ""FPGA"", ""Platform"": ""USB104 A7 Artix 7 FPGA PC/104"", ""Contents"": ""Board(s), Cable(s), Power Supply, Accessories"", ""Utilized IC / Part"": ""XC7A100T"", ""Interconnect System"": ""Pmod, SYZYGY, Zmod"", ""Suggested Programming Environment"": ""Adept, Vivado"", ""Note"": ""-""}"
CAP CER 1000PF 50V X7R 0603,Ceramic Capacitors,478-KGM15AR71H102KTCT-ND,KGM15AR71H102KT,KYOCERA AVX,500,£0.00430,£2.15,118719628,2025-12-04T17:52:57.705Z,KGM - X7R,Active,Cut Tape (CT),,,,,"{""Capacitance"": ""1000 pF"", ""Tolerance"": ""±10%"", ""Voltage - Rated"": ""50V"", ""Temperature Coefficient"": ""X7R"", ""Operating Temperature"": ""-55°C ~ 125°C"", ""Features"": ""-"", ""Ratings"": ""-"", ""Applications"": ""General Purpose"", ""Failure Rate"": ""-"", ""Mounting Type"": ""Surface Mount, MLCC"", ""Package / Case"": ""0603 (1608 Metric)"", ""Size / Dimension"": ""0.063\"" L x 0.032\"" W (1.60mm x 0.81mm)"", ""Height - Seated (Max)"": ""-"", ""Thickness (Max)"": ""0.035\"" (0.90mm)"", ""Lead Spacing"": ""-"", ""Lead Style"": ""-""}"
MOSFET P-CH 20V 3A SOT23,Transistors,DMG2301L-7DICT-ND,DMG2301L-7,Diodes Incorporated,150,£0.07670,£11.51,118719628,2025-12-04T17:52:57.705Z,-,Active,Cut Tape (CT),,,,,"{""FET Type"": ""P-Channel"", ""Technology"": ""MOSFET (Metal Oxide)"", ""Drain to Source Voltage (Vdss)"": ""20 V"", ""Current - Continuous Drain (Id) @ 25°C"": ""3A (Ta)"", ""Drive Voltage (Max Rds On, Min Rds On)"": ""2.5V, 4.5V"", ""Rds On (Max) @ Id, Vgs"": ""120mOhm @ 2.8A, 4.5V"", ""Vgs(th) (Max) @ Id"": ""1.2V @ 250µA"", ""Gate Charge (Qg) (Max) @ Vgs"": ""5.5 nC @ 4.5 V"", ""Vgs (Max)"": ""±8V"", ""Input Capacitance (Ciss) (Max) @ Vds"": ""476 pF @ 10 V"", ""FET Feature"": ""-"", ""Power Dissipation (Max)"": ""1.5W (Ta)"", ""Operating Temperature"": ""-55°C ~ 150°C (TJ)"", ""Grade"": ""-"", ""Qualification"": ""-"", ""Mounting Type"": ""Surface Mount"", ""Supplier Device Package"": ""SOT-23-3"", ""Package / Case"": ""TO-236-3, SC-59, SOT-23-3""}"
IC SUPERVISOR 1 CHANNEL SOT23,Power Management (PMIC),APX810S-31SA-7DICT-ND,APX810S-31SA-7,Diodes Incorporated,150,£0.09540,£14.31,118719628,2025-12-04T17:52:57.705Z,-,Active,Cut Tape (CT),,,,,"{""DigiKey Programmable"": ""Not Verified"", ""Type"": ""Simple Reset/Power-On Reset"", ""Number of Voltages Monitored"": ""1"", ""Voltage - Threshold"": ""3.08V"", ""Output"": ""Push-Pull, Totem Pole"", ""Reset"": ""Active High"", ""Reset Timeout"": ""140ms Minimum"", ""Operating Temperature"": ""-40°C ~ 125°C (TA)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""TO-236-3, SC-59, SOT-23-3"", ""Supplier Device Package"": ""SOT-23-3""}"
CAP ALUM 1000UF 20% 6.3V SMD,Aluminum Electrolytic Capacitors,493-2160-1-ND,UWT0J102MNL1GS,Nichicon,50,£0.19540,£9.77,118719628,2025-12-04T17:52:57.705Z,UWT,Active,Cut Tape (CT),,,,,"{""Capacitance"": ""1000 µF"", ""Tolerance"": ""±20%"", ""Voltage - Rated"": ""6.3 V"", ""ESR (Equivalent Series Resistance)"": ""-"", ""Lifetime @ Temp."": ""1000 Hrs @ 105°C"", ""Operating Temperature"": ""-55°C ~ 105°C"", ""Polarization"": ""Polar"", ""Ratings"": ""AEC-Q200"", ""Applications"": ""General Purpose"", ""Ripple Current @ Low Frequency"": ""230 mA @ 120 Hz"", ""Ripple Current @ High Frequency"": ""345 mA @ 10 kHz"", ""Lead Spacing"": ""-"", ""Size / Dimension"": ""0.315\"" Dia (8.00mm)"", ""Height - Seated (Max)"": ""0.394\"" (10.00mm)"", ""Surface Mount Land Size"": ""0.327\"" L x 0.327\"" W (8.30mm x 8.30mm)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""Radial, Can - SMD""}"
CAP ALUM 1800UF 20% 6.3V SMD,Aluminum Electrolytic Capacitors,10-EEE-FN0J182UPCT-ND,EEE-FN0J182UP,Panasonic Electronic Components,16,£0.52000,£8.32,118719628,2025-12-04T17:52:57.705Z,FN,Active,Cut Tape (CT),,,,,"{""Capacitance"": ""1800 µF"", ""Tolerance"": ""±20%"", ""Voltage - Rated"": ""6.3 V"", ""ESR (Equivalent Series Resistance)"": ""80mOhm @ 100kHz"", ""Lifetime @ Temp."": ""2000 Hrs @ 105°C"", ""Operating Temperature"": ""-55°C ~ 105°C"", ""Polarization"": ""Polar"", ""Ratings"": ""AEC-Q200"", ""Applications"": ""Automotive"", ""Ripple Current @ Low Frequency"": ""595 mA @ 120 Hz"", ""Ripple Current @ High Frequency"": ""850 mA @ 100 kHz"", ""Lead Spacing"": ""-"", ""Size / Dimension"": ""0.394\"" Dia (10.00mm)"", ""Height - Seated (Max)"": ""0.413\"" (10.50mm)"", ""Surface Mount Land Size"": ""0.406\"" L x 0.406\"" W (10.30mm x 10.30mm)"", ""Mounting Type"": ""Surface Mount"", ""Package / Case"": ""Radial, Can - SMD""}"
